Original_Crime_Type,Standardized_Crime_Type
Breaking And Entering,Burglary
Burglary,Burglary
Residential Breaking And Entering (B & E),Burglary
Any-Crime-Type Offences,Multiple/Mixed Crime Types
Group Crime,Multiple/Mixed Crime Types
Multiple Types,Multiple/Mixed Crime Types
Not Specified,Multiple/Mixed Crime Types
Drug-related,Other Specific Crimes
Graffiti/Vandalism,Other Specific Crimes
Riot-Related Incidents,Other Specific Crimes
Serious Acquisitive Crime (Sac),Other Specific Crimes
Terrorist Attacks By The Provisional Irish Republican Army (Pira),Other Specific Crimes
Robbery,Robbery
Theft,Theft
